school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,108,Danville City,30,The Northside Preschool,134,NA,134
2021-2022,108,Danville City,1372,Westwood Middle,561,NA,561
2021-2022,108,Danville City,220,Woodberry Hills Elementary,397,NA,397
2021-2022,26,Dickenson County,20,Clintwood Elementary,423,NA,423
2021-2022,26,Dickenson County,530,Ervinton Elementary,143,NA,143
2021-2022,26,Dickenson County,275,Ridgeview High,602,NA,602
2021-2022,26,Dickenson County,280,Ridgeview Middle,423,NA,423
2021-2022,26,Dickenson County,860,Sandlick Elementary,374,NA,374
2021-2022,27,Dinwiddie County,500,Dinwiddie County High,1297,NA,1297
2021-2022,27,Dinwiddie County,471,Dinwiddie County Middle,935,NA,935
2021-2022,27,Dinwiddie County,310,Dinwiddie Elementary,342,NA,342
2021-2022,27,Dinwiddie County,250,Midway Elementary,358,NA,358
2021-2022,27,Dinwiddie County,10,Southside Elementary,455,NA,455
2021-2022,27,Dinwiddie County,180,Sunnyside Elementary,263,NA,263
2021-2022,27,Dinwiddie County,520,Sutherland Elementary,539,NA,539
2021-2022,28,Essex County,10,Essex High,508,NA,508
2021-2022,28,Essex County,150,James H. Cary Intermediate,365,NA,365
2021-2022,28,Essex County,160,Tappahannock Elementary,520,NA,520
2021-2022,29,Fairfax County,2203,Aldrin Elementary,503,NA,503
2021-2022,29,Fairfax County,660,Annandale High,2253,1,2254
