school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2021-2022,35,Giles County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,8,6,division,Southwest,7
2021-2022,35,Giles County,NA,NA,ISS,In-School Suspension (1/2 day or more),205,130,division,Southwest,7
2021-2022,35,Giles County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,26,25,division,Southwest,7
2021-2022,35,Giles County,NA,NA,OSS,Out of school suspension by Division Admin,1,1,division,Southwest,7
2021-2022,35,Giles County,NA,NA,OSS,Out of school suspension by School Admin,116,87,division,Southwest,7
2021-2022,35,Giles County,NA,NA,SBP,Suspension of Bus Privileges,24,22,division,Southwest,7
2021-2022,36,Gloucester County,250,Abingdon Elementary,CR,Class Removal (less than 1/2 day),34,22,school,Northern Neck,3
2021-2022,36,Gloucester County,250,Abingdon Elementary,ISS,In-School Suspension (1/2 day or more),41,33,school,Northern Neck,3
2021-2022,36,Gloucester County,250,Abingdon Elementary,LOP,Loss of School Privileges or Participation in Extr,56,47,school,Northern Neck,3
2021-2022,36,Gloucester County,250,Abingdon Elementary,OSS,Out of school suspension by School Admin,29,14,school,Northern Neck,3
2021-2022,36,Gloucester County,250,Abingdon Elementary,SBP,Suspension of Bus Privileges,13,9,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,CR,Class Removal (less than 1/2 day),3,3,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,ISS,In-School Suspension (1/2 day or more),49,32,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,LOP,Loss of School Privileges or Participation in Extr,36,26,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,OSS,Out of school suspension by School Admin,31,9,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,SBCS,School-based Community Service Assigned,1,1,school,Northern Neck,3
2021-2022,36,Gloucester County,240,Achilles Elementary,SBP,Suspension of Bus Privileges,7,5,school,Northern Neck,3
2021-2022,36,Gloucester County,381,Bethel Elementary,CR,Class Removal (less than 1/2 day),12,11,school,Northern Neck,3
2021-2022,36,Gloucester County,381,Bethel Elementary,ISS,In-School Suspension (1/2 day or more),17,11,school,Northern Neck,3
2021-2022,36,Gloucester County,381,Bethel Elementary,OSS,Out of school suspension by Division Admin,2,2,school,Northern Neck,3
2021-2022,36,Gloucester County,381,Bethel Elementary,OSS,Out of school suspension by School Admin,46,11,school,Northern Neck,3
2021-2022,36,Gloucester County,381,Bethel Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Neck,3
2021-2022,36,Gloucester County,100,Botetourt Elementary,CR,Class Removal (less than 1/2 day),13,12,school,Northern Neck,3
2021-2022,36,Gloucester County,100,Botetourt Elementary,ISS,In-School Suspension (1/2 day or more),19,12,school,Northern Neck,3
2021-2022,36,Gloucester County,100,Botetourt Elementary,LOP,Loss of School Privileges or Participation in Extr,20,18,school,Northern Neck,3
2021-2022,36,Gloucester County,100,Botetourt Elementary,OSS,Out of school suspension by School Admin,3,3,school,Northern Neck,3
2021-2022,36,Gloucester County,100,Botetourt Elementary,SBP,Suspension of Bus Privileges,6,5,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,CR,Class Removal (less than 1/2 day),224,157,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,ISS,In-School Suspension (1/2 day or more),556,247,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,OSS,Out of school suspension by Division Admin,42,39,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,OSS,Out of school suspension by School Admin,331,183,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,OSS,Out of school suspension by School Board,4,4,school,Northern Neck,3
2021-2022,36,Gloucester County,260,Gloucester High,SBP,Suspension of Bus Privileges,21,20,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,CR,Class Removal (less than 1/2 day),300,137,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,ISS,In-School Suspension (1/2 day or more),195,117,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,LOP,Loss of School Privileges or Participation in Extr,5,4,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,OSS,Out of school suspension by Division Admin,4,4,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,OSS,Out of school suspension by School Admin,159,95,school,Northern Neck,3
2021-2022,36,Gloucester County,802,Page Middle,SBP,Suspension of Bus Privileges,24,17,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,CR,Class Removal (less than 1/2 day),15,13,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,DS,Detention Sanction Outside of Regular School Hours,4,3,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,ISS,In-School Suspension (1/2 day or more),184,91,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,LOP,Loss of School Privileges or Participation in Extr,8,7,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,OSS,Out of school suspension by Division Admin,8,7,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,OSS,Out of school suspension by School Admin,76,58,school,Northern Neck,3
2021-2022,36,Gloucester County,280,Peasley Middle,SBP,Suspension of Bus Privileges,28,25,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,CR,Class Removal (less than 1/2 day),30,19,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,ISS,In-School Suspension (1/2 day or more),18,13,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,LOP,Loss of School Privileges or Participation in Extr,21,21,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,OSS,Out of school suspension by Division Admin,2,2,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,OSS,Out of school suspension by School Admin,48,30,school,Northern Neck,3
2021-2022,36,Gloucester County,270,Petsworth Elementary,SBP,Suspension of Bus Privileges,5,5,school,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,CR,Class Removal (less than 1/2 day),631,374,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,4,3,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,ISS,In-School Suspension (1/2 day or more),1079,556,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,146,123,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,OSS,Out of school suspension by Division Admin,58,54,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,OSS,Out of school suspension by School Admin,723,403,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,OSS,Out of school suspension by School Board,4,4,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,SBCS,School-based Community Service Assigned,1,1,division,Northern Neck,3
2021-2022,36,Gloucester County,NA,NA,SBP,Suspension of Bus Privileges,105,87,division,Northern Neck,3
2021-2022,37,Goochland County,120,Byrd Elementary,OSS,Out of school suspension by School Admin,9,3,school,Central Virginia,1
2021-2022,37,Goochland County,360,Goochland Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Central Virginia,1
2021-2022,37,Goochland County,360,Goochland Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,Central Virginia,1
2021-2022,37,Goochland County,360,Goochland Elementary,OSS,Out of school suspension by School Admin,5,4,school,Central Virginia,1
2021-2022,37,Goochland County,220,Goochland High,CR,Class Removal (less than 1/2 day),147,91,school,Central Virginia,1
2021-2022,37,Goochland County,220,Goochland High,ISS,In-School Suspension (1/2 day or more),210,108,school,Central Virginia,1
2021-2022,37,Goochland County,220,Goochland High,OSS,Out of school suspension by Division Admin,4,4,school,Central Virginia,1
2021-2022,37,Goochland County,220,Goochland High,OSS,Out of school suspension by School Admin,51,39,school,Central Virginia,1
2021-2022,37,Goochland County,220,Goochland High,SBP,Suspension of Bus Privileges,2,2,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,ISS,In-School Suspension (1/2 day or more),242,113,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,LOP,Loss of School Privileges or Participation in Extr,5,5,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,OSS,Out of school suspension by Division Admin,4,4,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,OSS,Out of school suspension by School Admin,81,54,school,Central Virginia,1
2021-2022,37,Goochland County,340,Goochland Middle,SBP,Suspension of Bus Privileges,1,1,school,Central Virginia,1
2021-2022,37,Goochland County,260,Randolph Elementary,OSS,Out of school suspension by School Admin,1,1,school,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,CR,Class Removal (less than 1/2 day),148,92,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,1,1,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,ISS,In-School Suspension (1/2 day or more),455,224,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,5,5,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,OSS,Out of school suspension by Division Admin,8,8,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,OSS,Out of school suspension by School Admin,147,101,division,Central Virginia,1
2021-2022,37,Goochland County,NA,NA,SBP,Suspension of Bus Privileges,3,3,division,Central Virginia,1
2021-2022,262,Governor's School for the Arts,10,Governor's School for the Arts,OSS,Out of school suspension by School Admin,1,1,school,NA,NA
2021-2022,262,Governor's School for the Arts,10,Governor's School for the Arts,SBCS,School-based Community Service Assigned,1,1,school,NA,NA
2021-2022,262,Governor's School for the Arts,NA,NA,OSS,Out of school suspension by School Admin,1,1,division,NA,NA
2021-2022,262,Governor's School for the Arts,NA,NA,SBCS,School-based Community Service Assigned,1,1,division,NA,NA
2021-2022,38,Grayson County,480,Fairview Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Southwest,7
2021-2022,38,Grayson County,480,Fairview Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Southwest,7
2021-2022,38,Grayson County,480,Fairview Elementary,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Southwest,7
2021-2022,38,Grayson County,480,Fairview Elementary,OSS,Out of school suspension by School Admin,1,1,school,Southwest,7
2021-2022,38,Grayson County,480,Fairview Elementary,SBP,Suspension of Bus Privileges,8,4,school,Southwest,7
2021-2022,38,Grayson County,911,Fries Elementary,ISS,In-School Suspension (1/2 day or more),10,7,school,Southwest,7
2021-2022,38,Grayson County,911,Fries Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Southwest,7
2021-2022,38,Grayson County,911,Fries Elementary,OSS,Out of school suspension by School Admin,3,3,school,Southwest,7
2021-2022,38,Grayson County,911,Fries Elementary,SBP,Suspension of Bus Privileges,3,3,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,CR,Class Removal (less than 1/2 day),4,4,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,DS,Detention Sanction Outside of Regular School Hours,20,14,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,ISS,In-School Suspension (1/2 day or more),1,1,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,OSS,Out of school suspension by Division Admin,1,1,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,OSS,Out of school suspension by School Admin,23,20,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,SBCS,School-based Community Service Assigned,1,1,school,Southwest,7
2021-2022,38,Grayson County,421,Grayson County High,SBP,Suspension of Bus Privileges,2,2,school,Southwest,7
2021-2022,38,Grayson County,430,Grayson Highlands,CR,Class Removal (less than 1/2 day),1,1,school,Southwest,7
2021-2022,38,Grayson County,430,Grayson Highlands,LOP,Loss of School Privileges or Participation in Extr,5,3,school,Southwest,7
2021-2022,38,Grayson County,422,Independence Elementary,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Southwest,7
2021-2022,38,Grayson County,422,Independence Elementary,OSS,Out of school suspension by School Admin,1,1,school,Southwest,7
2021-2022,38,Grayson County,11,Independence Middle,DS,Detention Sanction Outside of Regular School Hours,73,34,school,Southwest,7
2021-2022,38,Grayson County,11,Independence Middle,OSS,Out of school suspension by School Admin,26,17,school,Southwest,7
2021-2022,38,Grayson County,11,Independence Middle,SBP,Suspension of Bus Privileges,3,3,school,Southwest,7
2021-2022,38,Grayson County,NA,NA,CR,Class Removal (less than 1/2 day),6,6,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,93,48,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,ISS,In-School Suspension (1/2 day or more),13,10,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,11,9,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,OSS,Out of school suspension by Division Admin,1,1,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,OSS,Out of school suspension by School Admin,54,42,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,SBCS,School-based Community Service Assigned,1,1,division,Southwest,7
2021-2022,38,Grayson County,NA,NA,SBP,Suspension of Bus Privileges,16,12,division,Southwest,7
2021-2022,39,Greene County,20,Nathanael Greene Elementary,CR,Class Removal (less than 1/2 day),25,18,school,Valley,5
2021-2022,39,Greene County,20,Nathanael Greene Elementary,ISS,In-School Suspension (1/2 day or more),8,7,school,Valley,5
2021-2022,39,Greene County,20,Nathanael Greene Elementary,LOP,Loss of School Privileges or Participation in Extr,8,8,school,Valley,5
2021-2022,39,Greene County,20,Nathanael Greene Elementary,OSS,Out of school suspension by School Admin,7,6,school,Valley,5
2021-2022,39,Greene County,20,Nathanael Greene Elementary,SBP,Suspension of Bus Privileges,8,7,school,Valley,5
2021-2022,39,Greene County,30,Ruckersville Elementary,CR,Class Removal (less than 1/2 day),13,10,school,Valley,5
2021-2022,39,Greene County,30,Ruckersville Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Valley,5
2021-2022,39,Greene County,30,Ruckersville Elementary,LOP,Loss of School Privileges or Participation in Extr,5,5,school,Valley,5
2021-2022,39,Greene County,30,Ruckersville Elementary,OSS,Out of school suspension by School Admin,6,5,school,Valley,5
2021-2022,39,Greene County,30,Ruckersville Elementary,SBP,Suspension of Bus Privileges,7,5,school,Valley,5
2021-2022,39,Greene County,72,William Monroe High,CR,Class Removal (less than 1/2 day),240,130,school,Valley,5
2021-2022,39,Greene County,72,William Monroe High,DS,Detention Sanction Outside of Regular School Hours,2,2,school,Valley,5
